mse	rmse	mae	pcc	scc
1	0.015755467	0.12552078	0.08531699852905467	0.7005425739515705	0.6432750125223706
2	0.014716308	0.12131079	0.07561154843398925	0.7267089655238014	0.6924049434470521
3	0.015405055	0.124117106	0.08048800737847114	0.7321288807007637	0.698110541146734
4	0.01761762	0.13273138	0.0894722111330445	0.7336217289335911	0.7045169577722505
5	0.015328237	0.12380726	0.0765750830552932	0.7376654276515983	0.7050944829825455
6	0.01655045	0.12864855	0.08227760359227668	0.730618202735192	0.7115186515244432
7	0.015575285	0.12480098	0.08123830545285518	0.7353639519935702	0.7061353501213862
8	0.013849862	0.11768544	0.07679448671806259	0.7391734896867762	0.713494225049766
9	0.014206287	0.119190134	0.07239381872006381	0.7349364633015864	0.7108734696544202
10	0.01644922	0.12825452	0.08310801399264213	0.7390771695316192	0.7215582429436687
11	0.014248529	0.119367205	0.07189882294862922	0.7356878560568707	0.7203922708906009
12	0.014204118	0.11918103	0.07364175345648243	0.7352331727105148	0.7194106092014686
13	0.013619526	0.11670273	0.07507290269084192	0.7459162916793909	0.7324010949273076
14	0.013489995	0.11614644	0.07522732746593802	0.7473721655079137	0.7261589972570331
15	0.013970011	0.1181948	0.0739059974294051	0.7424681762321755	0.7231674985841303
16	0.013899885	0.11789777	0.07727488360397045	0.739121289156674	0.7280330645381617
17	0.013636016	0.11677335	0.07191963230915921	0.7426861587953831	0.7250623541714246
18	0.013584197	0.116551265	0.07151395378028708	0.7448226121208434	0.7296070939003784
19	0.01421234	0.11921552	0.0813962109177067	0.7472005248237557	0.7311401876050437
20	0.013742995	0.11723052	0.07053861502725246	0.7442687292689859	0.7298251602755211
