mse	rmse	mae	pcc	scc
1	0.016444616	0.12823656	0.09172132077068298	0.6985939308927227	0.6360330018818391
2	0.0148982955	0.12205858	0.07527416444148097	0.7284599561526368	0.6945193955017933
3	0.016712068	0.12927516	0.0882264703482606	0.7295386230144512	0.6966695993180104
4	0.015435643	0.124240264	0.07983077696914126	0.7335683136215023	0.6993267298617715
5	0.0147354435	0.121389635	0.07516438051015938	0.7337010709808838	0.6984962932639835
6	0.01613169	0.12701058	0.08199002284932165	0.7363380567826654	0.7137349798341467
7	0.015517263	0.124568306	0.08039971348483421	0.7382841816423151	0.7037381125914095
8	0.013722067	0.117141224	0.07382822205043808	0.7398871105418833	0.709886056544041
9	0.014529498	0.12053837	0.07271224961590884	0.7350603528437194	0.7192838793476749
10	0.016489493	0.12841143	0.08773076043396981	0.7419002581448448	0.722674760984432
11	0.014083537	0.11867408	0.0726287960871762	0.7454364761253363	0.7270830576521963
12	0.014285296	0.11952111	0.07318759222951304	0.7406687089871394	0.7176195293949931
13	0.013660024	0.1168761	0.07572959232155335	0.7452939314242945	0.730474769929493
14	0.013304518	0.11534521	0.07493934957989863	0.7513355239687529	0.7308730452360246
15	0.013603206	0.11663278	0.07174867742654396	0.7483396490094845	0.727768855557671
16	0.01360399	0.11663614	0.07659700115968608	0.7480578700269535	0.7350455132733117
17	0.013237577	0.11505467	0.07087955048270134	0.7515515589619045	0.7317149118183193
18	0.013524082	0.11629309	0.07066742717035593	0.7463728526922841	0.7338031534847057
19	0.014030749	0.11845146	0.08082606102958362	0.7515476260597352	0.7357239694597648
20	0.013951204	0.11811522	0.07129061267685662	0.7402270628581024	0.7294001476852802
