mse	rmse	mae	pcc	scc
1	0.017818939	0.1334876	0.09484751694611326	0.6463865634039161	0.5907100501004147
2	0.014346445	0.119776644	0.0743030240132103	0.7298854182835471	0.6865778246537605
3	0.014759933	0.12149046	0.07975307374787959	0.7322168316729608	0.7052787570034972
4	0.01532451	0.1237922	0.07768843531339509	0.7269495991733804	0.7028421333586842
5	0.014869126	0.121939026	0.0733842686649368	0.7347030870893976	0.7072926096180853
6	0.016021024	0.12657419	0.08215349026758251	0.7302916217868302	0.7143251622938092
7	0.016068392	0.12676115	0.07816572354327085	0.7353458429932678	0.7046868850865242
8	0.013939963	0.11806762	0.07364799899458278	0.7356772380696823	0.70617460864255
9	0.0151858395	0.12323084	0.07782760666154831	0.7325484972761613	0.7067504504194199
10	0.015849954	0.1258966	0.08164856479239796	0.7389357894957905	0.7195667452804635
11	0.013834512	0.1176202	0.0721844163920767	0.7451681805142952	0.7226193778260672
12	0.014132352	0.118879564	0.07199800963290981	0.739862082058267	0.7209315731853109
13	0.013748612	0.11725447	0.07238682958837316	0.7422056077224916	0.7315964170591518
14	0.013447837	0.11596481	0.07376662624130421	0.7477800107670344	0.7294235919354372
15	0.013776068	0.11737149	0.0718051116621808	0.7449864466457787	0.7289219002670501
16	0.01389996	0.11789809	0.07461588931861064	0.7377204618696811	0.7336160339672064
17	0.013534558	0.11633812	0.0704010265016649	0.7472710348192494	0.7335745336229628
18	0.013421089	0.11584943	0.06999187284756483	0.7492788157492831	0.7345943838933853
19	0.013833328	0.11761517	0.07680531941083853	0.7501200730908886	0.7366067268025078
20	0.013746237	0.11724435	0.07070906861468473	0.7489117234806498	0.7360828570229894
