mse	rmse	mae	pcc	scc
1	0.014297973	0.11957414	0.07729363811963297	0.7287711598765724	0.6832497685990454
2	0.015084169	0.12281763	0.08517354894455997	0.7298218237722718	0.6965486131007576
3	0.015950166	0.12629397	0.09020007195616392	0.728579440741776	0.7093457871129987
4	0.014838125	0.121811844	0.07597567713185935	0.7268574194725722	0.7049705881570092
5	0.014986942	0.12242117	0.07877477292059154	0.7254344187972935	0.7156090656119352
6	0.014659363	0.12107585	0.07954905761598972	0.722962004621898	0.7108292602772642
7	0.014214628	0.119225115	0.07448900360356586	0.7339456460155187	0.7162391301589744
8	0.01497224	0.1223611	0.07638309690069192	0.7262261237559374	0.7032742371296687
9	0.014761994	0.12149894	0.07708703260524684	0.7333150926841644	0.7196702879795608
10	0.0147171365	0.121314205	0.07604138487724876	0.7339513847187499	0.7256022187290967
11	0.0141398655	0.11891117	0.07477508684230098	0.7356519953977039	0.7252966198771882
12	0.014133123	0.11888281	0.07274573033204597	0.735852722967845	0.7278426078758246
13	0.014487403	0.12036363	0.07795743128156421	0.7276254661462314	0.7178545048669959
14	0.01430886	0.119619645	0.07352715134956786	0.7324230392537269	0.7252434440382403
15	0.014768132	0.1215242	0.07714806109050909	0.7229224472862733	0.7182812048302087
16	0.014095716	0.11872538	0.07548694353507268	0.73137394019998	0.7283426358970136
17	0.014218803	0.11924262	0.07288263054458939	0.7351413062846234	0.7320891762599842
18	0.014308783	0.119619325	0.07336778181005207	0.7275178414557871	0.7262577877822163
19	0.014540856	0.12058547	0.07267610480584749	0.7257676246427932	0.7281990178521129
20	0.0149067715	0.12209329	0.07426868320336028	0.7309020536418751	0.7333638017234116
