mse	rmse	mae	pcc	scc
1	0.017500037	0.13228771	0.09890037239949276	0.6921160430867181	0.6279291853983772
2	0.014650361	0.121038675	0.07560473452277452	0.7253298069419174	0.6839818775155534
3	0.015826102	0.12580183	0.0845272487640412	0.7340587973380244	0.6969777250664589
4	0.014870482	0.121944584	0.07635860728128147	0.7356741935668785	0.7014724802065296
5	0.014717216	0.12131453	0.07347735285001912	0.7370098893789148	0.7117779609332494
6	0.015357646	0.12392597	0.07938851522595382	0.73556639155086	0.7106351377489961
7	0.016213689	0.12733299	0.08300302316691625	0.7322402005030012	0.701950789885023
8	0.013766296	0.11732986	0.07288789785938549	0.739381129933229	0.7167050541435487
9	0.014907909	0.12209795	0.07407431589318854	0.7303539650524724	0.7130635593262169
10	0.016682522	0.12916084	0.08804984807859473	0.7452771884291481	0.726620749396293
11	0.013924107	0.118000455	0.07144996624023894	0.7423658224130714	0.7244782772266547
12	0.014226185	0.11927357	0.07301744348943907	0.7366784473219911	0.7227245154630068
13	0.013567873	0.116481215	0.07333165268849778	0.7449926208458938	0.7318262222270474
14	0.013366257	0.11561253	0.07480099552703098	0.7488222262107493	0.729036923229442
15	0.01407699	0.118646495	0.07255834912509664	0.7412410633746412	0.725242020042674
16	0.0135097485	0.11623144	0.07506762354551283	0.7443722973001881	0.7274754261418132
17	0.013362122	0.11559465	0.07177221011057414	0.7478907185105395	0.7301099594753486
18	0.013519309	0.11627257	0.0712512015029296	0.7461506617023761	0.7278288562783006
19	0.01412293	0.118839934	0.08128200306025472	0.7491428066736326	0.7339481734141178
20	0.014014031	0.118380874	0.07140888193960822	0.7413573720551331	0.7260453013700718
