mse	rmse	mae	pcc	scc
1	0.014364807	0.11985327	0.07805840658931253	0.7294055956569012	0.6747715054363583
2	0.014673608	0.12113467	0.08340154107580906	0.7330683154410729	0.696920855809417
3	0.014265612	0.11943874	0.08178506153195995	0.7363887304681203	0.7086478135815928
4	0.014796242	0.1216398	0.07651960345838328	0.729741792143355	0.7043610354818912
5	0.015029159	0.12259347	0.07726022959624856	0.7209191590141728	0.7119058047042721
6	0.014450815	0.12021154	0.07827163309502945	0.7270038985838128	0.7089585350539749
7	0.014091978	0.11870964	0.0732032219379353	0.7357701878448459	0.723659961165522
8	0.014918223	0.12214018	0.07714349910089985	0.7295725948317372	0.7050497094368006
9	0.014590256	0.12079013	0.07666988733610883	0.738929195196143	0.7272466056315511
10	0.014695355	0.121224396	0.07599102043671639	0.7316669308068793	0.7202713459221287
11	0.014421094	0.12008786	0.07853018701385331	0.7316822306451161	0.7241815474453878
12	0.014312491	0.11963482	0.07446660061906363	0.7333495929169748	0.7222913232903104
13	0.01459835	0.12082363	0.07955784599392975	0.735533192233681	0.7234771633298525
14	0.014080851	0.11866276	0.07421551622723487	0.7380870374915591	0.7253338803698336
15	0.014341324	0.11975527	0.07475957257987681	0.7288055864601083	0.7248462598944874
16	0.014083593	0.118674316	0.07548022366966363	0.7369579959509053	0.7309092881347733
17	0.014278688	0.11949346	0.0737201534643668	0.7412096802781581	0.7359121890183654
18	0.013781796	0.11739589	0.0721342281432076	0.7405799618264668	0.7313662059598237
19	0.0138526885	0.11769745	0.0713995739216856	0.74000381433164	0.7326534786881982
20	0.014456975	0.120237164	0.07342910799216545	0.7432958517092856	0.7343322787733856
